location_name,poll,rsquared_testing,period,delta_observed,delta_trend,delta_weather
Amritsar,pm10,0.7175104377680632,FY 2017-2018 to FY 2023-2024,-44.65548745628452,-38.37489262846681,-6.280594827817708
Bangalore,pm10,0.7067599786179837,FY 2017-2018 to FY 2023-2024,-0.630728778442105,1.7983575128221645,-2.4290862912642694
Chandrapur,pm10,0.7091162280233627,FY 2017-2018 to FY 2023-2024,-19.128432698218276,-13.17267671009212,-5.955755988126157
Delhi,pm10,0.7975653860625986,FY 2017-2018 to FY 2023-2024,-22.297763943734253,-17.268480797341056,-5.0292831463931975
Durgapur,pm10,0.8353324955988091,FY 2017-2018 to FY 2023-2024,-53.53031361882148,-53.10661269139459,-0.4237009274268928
Haldia,pm10,0.7325284261224918,FY 2017-2018 to FY 2023-2024,-13.363013249329143,-14.21692837056601,0.8539151212368665
Hyderabad,pm10,0.8750332162721671,FY 2017-2018 to FY 2023-2024,-18.8065032015474,-13.349092668894372,-5.457410532653029
Nagpur,pm10,0.8405961501473436,FY 2017-2018 to FY 2023-2024,9.639014149298191,11.738421615158671,-2.09940746586048
Navi Mumbai,pm10,0.8552941019705851,FY 2017-2018 to FY 2023-2024,44.728477215231464,52.3486841771217,-7.620206961890233
Solapur,pm10,0.8343891681783377,FY 2017-2018 to FY 2023-2024,9.750884548223198,7.728615549859768,2.0222689983634297
